"","dataset[which(dataset$service_type == ""Healthcare""), ""feedback""]"
"255","Mi bebé lleva 3 semanas con vómito y diarrea y para acceder a una cita  en CRC
es dificil,deseo atención rápida y eficaz ante una emergencia
"
"256","La infraestructura es muy pequeña y esto limita el número de personas que
podemos recibir los servicios, deseo que se amplie el lugar.
"
"257","La atención prestada es muy buena me gustaría poder contar con una
infraestructura más grande y con eso implementar más servicios .
"
"258","Deberían tener un servicio de urgencias las 24 horas para los niños, muchas
veces están enfermos y no tenemos dónde llevarlos.
"
"259","Considero que la infraestructura no es suficiente para la demanda de personas
que requieren este servicio y sería positivo si lo amplían.
"
"260","Cambiar o poner más teléfonos para que atiendan las llamadas,muchas veces
llamamos todo el día y no se logra una cita.
"
"261","Especialistas para enfermedades crónicas, oftalmología,neuropediatras eso nos
ayudaría a estar mejor de salud.
"
"262","Poner más líneas telefónicas, donde sí contesten y puedan dar más atención a las
personas.
"
"263","Darmos la oportunidad de trabajar a los migrantes, asi podriomos pagar
arriendo,comer, y tener una vida mas digna.
"
"264","Darnos apoyo en empleo, que en las empresas nos reciban sin tanto inconveniente
a los migrantes.
"
"265","Me gustaria mas brigadas de salud en altos de la florida para los migrantes,
estamos en abandono y no tenemos quien nos atienda.
"
"266","Mas ofertas laborales para los migrantes, estamos sin empleo y nos es dificil
llevar de comer a mi familia.
"
"267","Dar la oportunidad  de trabajar a los migrantes, asi puedo pagar arriendo,
comer, y tener salud.
"
"268","Hacer campañas de empleo para los migrantes,ya que en ningun lado nos dan
trabajo por nuestra nacionalidad.
"
"269","Mas oportunidad laboral para los migrantes,estoy sin empleo y me es dificil
ayudar a mi familia economicamente.
"
"270","Dar la oportunidad de trabajar a los migrantes estamos sin empleo y asi es
dificil llevar el alimento a la familia.
"
"271","Darnos la oportunidad de trabajar a los venezolanos, ya que en este pais somos
rechazados.
"
"272","No hay citas, llevo un mes sin atencion, se necesita atencion rapida y eficiente
"
"273","No me entregan mis examenes de laboratorio a tiempo y hay demoras
"
"274","No dieron medicamento porque asisti el dia anterior a la brigada de salud y el
medicamento es acetaminofen y mi hijo tiene mucha fiebre
"
"275","Demora en el servicio, no me diron medicamentos porque no aparezco en el sistema
"
"276","No me entregaron mi medicamento  claritromicina, porque no lo cubre el plan de
salud y mi salud depende de el
"
"277","Falta de informacion y medicamentos.
"
